Bootup. booting: 0, online: 0, dying: 0, new_online: 0
SpawnNew. booting: 1, online: 0, dying: 0, new_online: 0
NewOnline. booting: 0, online: 0, dying: 0, new_online: 1
Ready. booting: 0, online: 1, dying: 0, new_online: 0
Bootup. booting: 0, online: 0, dying: 0, new_online: 0
SpawnNew. booting: 1, online: 0, dying: 0, new_online: 0
NewOnline. booting: 0, online: 0, dying: 0, new_online: 1
Ready. booting: 0, online: 1, dying: 0, new_online: 0
Shutdown. booting: 0, online: 0, dying: 0, new_online: 0
Bootup. booting: 0, online: 0, dying: 0, new_online: 0
SpawnNew. booting: 1, online: 0, dying: 0, new_online: 0
NewOnline. booting: 0, online: 0, dying: 0, new_online: 1
Ready. booting: 0, online: 1, dying: 0, new_online: 0
Shutdown. booting: 0, online: 0, dying: 0, new_online: 0
Bootup. booting: 0, online: 0, dying: 0, new_online: 0
SpawnNew. booting: 1, online: 0, dying: 0, new_online: 0
NewOnline. booting: 0, online: 0, dying: 0, new_online: 1
Ready. booting: 0, online: 1, dying: 0, new_online: 0
Bootup. booting: 0, online: 0, dying: 0, new_online: 0
SpawnNew. booting: 1, online: 0, dying: 0, new_online: 0
NewOnline. booting: 0, online: 0, dying: 0, new_online: 1
Ready. booting: 0, online: 1, dying: 0, new_online: 0
Shutdown. booting: 0, online: 0, dying: 0, new_online: 0
Bootup. booting: 0, online: 0, dying: 0, new_online: 0
SpawnNew. booting: 1, online: 0, dying: 0, new_online: 0
NewOnline. booting: 0, online: 0, dying: 0, new_online: 1
Ready. booting: 0, online: 1, dying: 0, new_online: 0
Shutdown. booting: 0, online: 0, dying: 0, new_online: 0
Bootup. booting: 0, online: 0, dying: 0, new_online: 0
SpawnNew. booting: 1, online: 0, dying: 0, new_online: 0
NewOnline. booting: 0, online: 0, dying: 0, new_online: 1
Ready. booting: 0, online: 1, dying: 0, new_online: 0
Shutdown. booting: 0, online: 0, dying: 0, new_online: 0
